business_id,similar_1,similar_2,similar_3
03W4GFc3Ll01kxI7BPxRww,IHOP - Cleveland,Luchita's Mexican Restaurant - Hudson,Cafe Europa and Bistro - Willoughby
06LmLcjFUb6b1HmhNllJZg,Bowl Of Pho - Woodmere,Taj India Palace - Cleveland,Hunan by the Falls - Chagrin Falls
06X34OSshQJPDiyUDHtS0A,Open Pitt Barb-B-Que - Cleveland,Danny's Deli - Cleveland,Stownut Donut & Diner - Stow
0BO3-F1y7nyTEmqb_ZivzA,JT's Diner - Willoughby,Gene's Place To Dine - Cleveland,Somer's Restaurant - Cleveland
0FXAHiDs1Fkr3V_kK8b1SA,Chesterland Tavern - Chesterland,Dave & Buster's - Westlake,Panini's Bar and Grill - Willoughby
0G-WFdOu3_KW3mBZJQq5Cg,Byte Cafe - Cleveland,Luna's Deli & Restaurant - Northfield,Sabor Miami Cafe & Gallery - Cleveland
0IYsvn19i1xY9kw-TrD2sw,Two Bucks - Mayfield Heights,Happy Moose Bar and Grill - Streetsboro,Brick House Tavern + Tap - Cuyahoga Falls
0LAjD6m5LjiSbiajp2SR4Q,Brennan's Colony - Cleveland Heights,Beal's Pickles 'n' Pints - Willoughby,Pounders Bar & Grill - Cleveland
0NDbUCHi9YsRwgG3iZO8Kg,Sun Luck Garden - Cleveland Heights,Emperor's Palace - Cleveland,Korea House - Cleveland
0P9PCKJBC3TY9Ifcw4Y7Mw,The Parma Tavern - Cleveland,Winking Lizard Tavern - Cleveland Heights,McNultys Bier Markt - Cleveland
0VJ8tBxOpD2OxuioVjaAxA,Aladdin's Eatery - Independence,Taza A Lebanese Grill - Cleveland,Nazca Bar & Grill - Eastlake
0ZN2MfHyjNIkCx7qJvVhDg,Lago - Cleveland,Jezebels Bayou - Cleveland,Brasa Grill - Cleveland
0ZPuFZMMYfRa3FRfjddCDA,Trentina - Cleveland,Cafe Toscano - Aurora,Molto Bene Italian Eatery - Lakewood
0ZZIqTdEb7yUa13QZLKuGQ,Sonic - Streetsboro,Local Tavern - Willoughby Hills,Ricks Cafe - Chagrin Falls
0gbi6kYiAOnFwfZ_2_dXSA,ML Tavern - Moreland Hills,Cibreo Italian Kitchen - Cleveland,Morton's The Steakhouse - Cleveland
0i95sgY7pzYW9k88SOVJ8A,Soho Chicken + Whiskey - Cleveland,Lola - Cleveland,Zanzibar Soul Fusion - Cleveland
0jHZk9RrKh0uRhTRW1XIqQ,Pupuseria Katarina - Cleveland,Dickey's Barbecue Pit - Mentor,Balaton Restaurant - Cleveland
0k9yGNjHyXaniwK5pfe1iA,The Tavern - Cleveland Heights,Harry Buffalo - Lakewood,Drink. Bar & Grill - Cleveland
0mS42KOASlBugoM-SAc7gQ,Don Ramon Mexican Restaurant - Westlake,El Rancho Mexican Restaurant - Cuyahoga Falls,Las Cazuelas - Avon Lake
0nquGuiW0SONs3R89gSi1Q,Souper Market - Cleveland,MoMo's Kebab - Cleveland Heights,Pacific Grill - South Euclid
0qsarzXaZau8REdE0rToxA,Citizen Pie - Cleveland,Fatbob's Pizza - Brunswick,Romito's Pizza West - Independence
0rN_o7_IfshAHQwzMUK8nA,Imperial Wok Chinese Restaurant - Solon,Charm Thai Restaurant - Parma,Troy Grille - Kent
0uwQIGlKICIYuRtayVnh7g,Piada Italian Street Food - Rocky River,Grum's Sub Shoppe - Cleveland Heights,Tea House Noodles - Cleveland
0youcKV6-eE3F2MQj1l6Fw,Rusty Anchor - Cleveland,White Oaks - Westlake,Bass Lake Taverne Inn - Chardon
10Jk5ilimXrfAq8JJ1gISg,Wonton Gourmet & BBQ - Cleveland,Cleveland Tiffin- Punjabi Dhaba - North Randall,Pupuseria La Bendicion - Cleveland
112pGcb0ZB666d_IwFt4jA,Charkha Exotic Indian Cuisine - Cleveland,Emperor's Palace - Cleveland,Sun Luck Garden - Cleveland Heights
14AWgEFR1bFK8rEhJwIvFA,Big Boy's Burgers and Shakes - Mayfield Heights,Red Robin Gourmet Burgers - Willoughby,Steak 'n Shake - Cleveland
15gg-_KO3rq1fmrfMRaXZQ,Sweet Pea Cafe - Fairlawn,Blue Ginger Asian Bistro - Parma,"First Watch - Breakfast, Brunch & Lunch - University Heights"
1D7U-KEvoQDqWJNiYTNbZg,Al's Deli - Cleveland,Yours Truly Restaurants - Mentor,Hotspot Cafe - Cleveland
1FGe55e-ZPkumoBK7cyjnA,Tacos Mexicanos - Macedonia,Las Cazuelas - Avon Lake,Don Ramon Mexican Restaurant - Westlake
1ForN8iXqYZ_dZZcOkvVeA,Fresh Start Diner - Twinsburg,The Place To Be - Lakewood,Hanabi Japanese Restaurant - Cleveland
1JUSswQgG0bBA0nFtVu1Cw,Cracker Barrel Old Country Store - Copley,The Fountain Cafe & Grille - Westlake,LongHorn Steakhouse - Rocky River
1KRnx1P4gYlkpmezGTERaA,Hooley House Brooklyn - Brooklyn,Toast - Cleveland,Butcher and the Brewer - Cleveland
1Mf0UInsuxMNfJjzy0rTBQ,Ohashi - North Olmsted,Watami Japanese Seafood Buffet & Grill - Parma,Chipotle Mexican Grill - Warrensville Heights
1NNBpiQ3rUT-7T8ch45SVA,Hook & Hoof - Willoughby,Lola - Cleveland,Cork & Cleaver Social Kitchen - Broadview Heights
1P4VWKDPCNAyw_OSI56XWQ,Hatfield's Goode Grub - Cleveland,Al & B's Barbeque - Cleveland,Skyline Chili - Stow
1Pv6zuTjtDynP8T1zJhGTg,Tommy's Fairview Tavern - Cleveland,Harry Buffalo - Highland Heights,Harry Buffalo - Elyria
1RROh1rSDB4ASIZ-kwxT2w,La Strada - Cleveland,Molto Bene Italian Eatery - Lakewood,Chinato - Cleveland
1RgX-EAQrGoPMvy9ntEXsw,Bada Bing Pizza - Painesville,Sauced Wood Fired Pizza - Fairview Park,Vincenza's Pizza & Pasta - Cleveland
1YGQsn4AHPbcVsRmHqbeqQ,MOOYAH Burgers Fries & Shakes - Rocky River,Dynomite Burgers - Cleveland,BurgerFi - Cuyahoga Falls
1bCitUM1BpqnaekkqJsVdQ,Buffalo Wild Wings - Avon Lake,Two Bucks North Olmsted - North Olmsted,Music Box Supper Club - Cleveland
1d-bskPWu2zKZSEa2-4kfA,Heck's Cafe - Cleveland,Big Boy's Burgers and Shakes - Mayfield Heights,Red Robin Gourmet Burgers - Willoughby
1gQrMs-I8oKg2p-iRxznzQ,Cork & Cleaver Social Kitchen - Broadview Heights,Zanzibar Soul Fusion - Cleveland,Zanzibar Soul Fusion - Cleveland
1m64tGebPkXNWuv2bXCTeQ,The Black Pig - Cleveland,Smokey Bones Bar & Fire Grill - Mentor,Hodge's - Cleveland
1u4EvujoBP37oEL4SGLpgA,Sushi Rock - Beachwood,Cool Beans Cafe - Medina,Rising Star Coffee Roasters - Cleveland
1v9TVINzMod7JfSQI7Aayw,Chipotle Mexican Grill - Independence,Mason's Creamery - Cleveland,Thai Hut - Lakewood
1vEBp-YeAvqg1w19GzYg9w,"First Watch - Breakfast, Brunch & Lunch - Mayfield Heights",Chipotle Mexican Grill - Solon,The Original Pancake House - Fairview Park
1veVZUawy7IhIc5oDpRRQA,Mister Brisket - Cleveland,Maha's Falafil - Cleveland,Skyline Chili - Brooklyn
1wAIVR71cLfupzNsk13Ryg,The Corner Alley at Uptown - Cleveland,Dewey's Coffee House - Cleveland,Aurora Farms Premium Outlets - Aurora
1zKjojtmAHuVOHhtGVxC2Q,Ohio Brewing Company - Cuyahoga Falls,Lava Lounge - Cleveland,Hansa Brewery - Cleveland
2-9wu090DJutG_MPUgPWQw,Potbelly Sandwich Shop - Independence,Giuseppe's Ristorante - Northfield,Tastebuds - Cleveland
228mfqUuGbnCs1kiupJXZw,Indian Flame Restaurant - Cleveland,Thai Thai - Lakewood,Seoul Garden - Parma
24t7-XcaR6yJi_20CPoB2Q,Black Box Fix - Cleveland Heights,Seti's Polish Boys - Cleveland,Rockne's - Cleveland
26Uk74dNTGysPq2ceaj2OA,Zócalo Tequilería - Cleveland,Bodega Restaurant & Lounge - Cleveland Heights,Bomba Tacos & Rum - Rocky River
277ETKOLg1XreTWL8hGlHw,Anthonys of Little Italy - Cleveland,The Spread Buffet - Cleveland,Trentina - Cleveland
28GeAA6PjuHmqgMmp1E2Uw,AJ's Urban Grill - Westlake,Station 43 Tavern - Solon,Sammies Bar and Grill - Tallmadge
2A1wvIFdKQZZe-vtTO7olQ,Zeppes Pizzeria & Italian Bistro - Hudson,Pizzazz on the Circle - University Heights,California Pizza Kitchen - Lyndhurst
2ALi7ZYvil-BAXFa3CMUyA,Tokyo Hibachi & Sushi - Medina,Fujiyama Steakhouse & Sushi Bar - Avon,Wild Ginger China Bistro - Cleveland
2AS4HuJJHTBG6R8D9ldrdA,Sabor Miami Cafe & Gallery - Cleveland,La Taqueria - Richmond Heights,Luna's Deli & Restaurant - Northfield
2CmLLrNHS_IBxzFllXx83g,The Berea Depot - Berea,Buffalo Wild Wings - Strongsville,Firehouse Grille & Pub - Willoughby Hills
2F6dAex41iqsoxjSX4xAZA,Thai Spice - Westlake,Pho Thang Cafe - Cleveland,Ohio Kabob Grill - North Olmsted
2I7QtHJI-izdThjghMaT1g,The DC Pasta Co - Strongsville,The Burnham Restaurant - Cleveland,The Spread Buffet - Cleveland
2JeciNHrJE_tI-o2tUCu5w,"First Watch - Breakfast, Brunch & Lunch - Solon",Raj Mahal - Cuyahoga Falls,Don Ramon Mexican Restaurant - Cleveland
2JsLzYF8rUalwpm5LDEcog,Girves Brown Derby - Cleveland,Lola - Cleveland,Cork & Cleaver Social Kitchen - Broadview Heights
2L0I4w2_32aVJq-IzhZSig,Inn On Coventry - Cleveland,Crepes In the City - Willoughby,Fuji Japanese Steakhouse - Mentor
2MnNaZcNG_2whC9NyL4qgA,Rivals Sports Grille - Cleveland,Happy Moose Bar & Grill - Mentor,Hooley House Sports Pub & Grille - Westlake
2S1s1gKstsgRtUTVxKO79w,Seoul Garden Korean Restaurant - Cuyahoga Falls,Sabor Miami Cafe & Gallery - Cleveland,La Taqueria - Richmond Heights
2VEa7rpo68KG0_5pBj0dFA,La Pizzeria - Cleveland,Olde Town Pizza House - Amherst,Mama Santa's - Cleveland
2alo9GzeOsbg4jeKYFQmxQ,Bucci's Brick Oven - Middleburg Heights,Frankie's Italian Cuisine - North Olmsted,Rizzi's Ristorante & Pizzeria - Copley
2jzM7PSeG8OwZ5EvocCpQA,Guacamole's - Kent,Jalapeno Loco - Mentor,El Rodeo - North Olmsted
2lcK3d4K7FU6O8wXdWzOmA,Trivs - Strongsville,The Mad Greek - Cleveland Heights,Stadium 3 Bar & Grille - Cleveland
2nn6Sx5EFpzFbsy5cJYHUg,1890 at the Arcade - Cleveland,Lagerheads - Medina,Boulevard Tavern - Cuyahoga Falls
2og7CivCoU54PKpvlvxOYw,PIZZAFIRE - Rocky River,Vincenza's Pizza & Pasta - Cleveland,Bada Bing Pizza - Painesville
2r9U0--QqAK0JjL8vxB7mA,The Grille - Brunswick,Shooters On The Water - Cleveland,Chesterland Tavern - Chesterland
2rYgDcy0LM1-kj9oCphCQw,J. Gumbo's - Cleveland,Aladdin's Eatery - Fairlawn,Lotus Thai House - Cleveland Heights
2tfMXjOotr1r168mVttUmQ,Steak 'n Shake - Willoughby,56 West - Lakewood,Heck's Cafe - Cleveland
309bnXTHirKMU6wz1HwRjQ,Happy Dog - Cleveland,Mulligan's Pub and Grille - Highland Heights,Merry-Arts Lounge - Lakewood
30fH0eHUXorWSR2-C4PuiA,Al & B's Barbeque - Cleveland,Cleveland Pickle - Cleveland,Chick-fil-A - Strongsville
39nJBipHiWpGzRUTtDCzFA,The Bier Haus - Strongsville,Quaker Steak & Lube - Valley View,The Pub Beachwood - Beachwood
3KzzG6dw5aN9eIo3cGHaSA,Local West - Cleveland,Heck's Cafe - Cleveland,Steak 'n Shake - Brunswick
3LtH0YjJQGiIRSXI-SsKtQ,Ohashi - North Olmsted,Chipotle Mexican Grill - Warrensville Heights,Denny's - Cleveland
3N6cRLLJnrFU31G66WHlfQ,Kan Zaman - Cleveland,Gourmand's - Valley View,Fresco Mexican Grill & Salsa Bar - Kent
3NSeHqI4QrXx8Smw2j662w,BJ's Restaurant & Brewhouse - Mentor,Pickwick & Frolic Restaurant & Club - Cleveland,Foundry Kitchen and Bar - Elyria
3OCgpAos1gmS4rbWTIjmsQ,Cafe Avalaun - Warrensville Heights,Lucky's Café - Cleveland,Luna Bakery Cafe - Cleveland
3Ru4sC1V9PB1ezIqvt9Isg,Toast - Cleveland,Crop Rocks - Cleveland,West End Tavern - Lakewood
3XJlYjQ4Sp4F6T-L-AKm8A,Georgetown Restaurant - Lakewood,Aces Grille - North Ridgeville - North Ridgeville,Beach Club Grill - Mentor
3a9VwysYDeUBBAS7xiJOJw,Whitey's - Richfield,Bearden's Restaurant - Rocky River,Dynomite Burgers & Sushi - Cleveland
3dMAswAQk0ehFvuE8V8RDA,Girves Brown Derby - Medina,The Cheesecake Factory - Lyndhurst,Austin's Smokin' Steakhouse - Cleveland
3drQZjrvh8EOJe5aSwYE5w,San Diego Taco Factory - Aurora,Lemon Falls - Chagrin Falls,Otani Noodle - Cleveland
3r_y_cjRlobJNApmXDJoRg,Mekong River Restaurant - Cleveland,Charkha Exotic Indian Cuisine - Cleveland,Indian Flame Restaurant - Cleveland
3ropqVM-UMYXun6WGbi1hA,The Diner On Clifton - Cleveland,Gyro Guys - Cleveland,Wild Goats Cafe - Kent
3sEOltqZs1cjRA4Pqkm_AQ,Bar 145 - Kent,Jammy Buggars - Lakewood,Burgers 2 Beer - Solon
3trdX3B7ZwmO2SKpQ9UJrg,The Rail - North Olmsted,Dynomite Burgers & Sushi - Cleveland,Grind Burger - Highland Heights
3z70db5MNhCBPpIaRCB5nQ,Chicago Deli - Solon,Dos Coronas - Macedonia,Don Ramon Mexican Restaurant - Cleveland
423AAbu0yBoDMOeVwnLzkQ,House of Blues - Music Venue - Cleveland,Buffalo Wild Wings - Strongsville,Coastal Taco - Cleveland
47me-6Zme7RYR0zEonfaHg,Dante - Tremont,Michaelangelo's - Cleveland,Roxu Fusion - Lakewood
4A1ariVt4NG98LzPjjRpkQ,Toko Japanese Steak House - Streetsboro,Otani Steakhouse and Sushi - Hudson,Kelly's Cafe - Brunswick
4GkiahNmE3G3-RFn3xrAYg,Dianna's Deli & Restaurant - Lakewood,Manhattan Deli - Mentor,Simon's Restaurant & Delicatessen - Brecksville
4IBXNxLsEcfUIx6LUM2Aqw,Ken Stewart's Tre Belle - Bath,Beach Club Bistro - Euclid,Wood & Wine - Avon
4IdcT63iE5fNrVzayZtKEw,Lucci's Place - Kent,Gina's Pizza - Bay Village,Master Pizza - Cleveland
4M09MJwxRx8utAgEntFVrQ,The Brew Kettle - Amherst,Winking Lizard Tavern - Cleveland,Ironwood Cafe - Westlake
4S7vWgarCkYjSaN8vrTV9g,Olive Garden Italian Restaurant - Beachwood,Carrabba's Italian Grill - Brooklyn,Bucci's J Bella - Strongsville
4V2KN03EJMzaoOmLOy5UhQ,Society Lounge - Cleveland,CLE Urban Winery - Cleveland Heights,Mahall's Twenty Lanes - Lakewood
4lCTd6-EzOuKl4YbH9gnxw,Great Lakes Brewing Co - Cleveland,Winking Lizard Tavern - Cleveland,On Tap Medina - Medina
4noRilkKlHiWf_OrqNL3HQ,Lake House Cafe - Lakewood,Don Tequila Mexican Restaurant - Cleveland,Nature's Oasis - Lakewood
4qCYRklxSuTdN2z6dC2KeQ,Dolphin Family Restaurant - Northfield,Kosta and Vic's Family Restaurant - Parma,Cocos Locos - Willoughby
4sYUOH1R2r4mCCJSjJ66ow,Rays Place - Kent,Ray's Place - Fairlawn,The Tavern - Cleveland Heights
4t6z1AT8qBfwaBm13d1GMA,Flannery's Pub - Cleveland,New Heights Grill - Cleveland,Hooley House Sports Pub & Grille - Mentor
4v_RbefzvGkixXXJkn-bzw,Otani Noodle - Cleveland,Number One Pho - Cleveland,Flavors of India - North Olmsted
4w3CXzYFboPjsjDHIXyVLg,Demetrio's Family Restaurant - Seven Hills,Big Eye Japanese Cuisine and Sushi Bar - Fairlawn,Vintage Tea & Coffee - Cleveland
4xnVH2jTVwrsO88q_jHWWw,Jet's Pizza - Lyndhurst,Romito's Pizza West - Independence,Master Pizza - Cleveland
507GRbrr770MTG0lOhlfYA,Pacific East Japanese Restaurant - Cleveland Heights,Sapporo Sushi - Cleveland,Toko Japanese Steak House - Kent
54bBMIoZS2ZBFhvlZalPFQ,La Strada - Cleveland,Gusto! - Cleveland,Cowell & Hubbard - Cleveland
54kfE6vauORUVUifLagkXQ,Bold Food & Drink - Cleveland,Spice Kitchen + Bar - Cleveland,Noosa Bistro - Mentor
54ne9NBqgiWQAx0-RrOaFQ,El Carnicero - Lakewood,Das Schnitzel Haus - Parma,The Plum - Cleveland
5CqM8dr3d3LI_B-1_-5U7A,ML Tavern - Moreland Hills,Hyde Park Prime Steakhouse - Beachwood,Morton's The Steakhouse - Cleveland
5G-i1t7VXLGByswnCKvrDQ,El Jalapeños - Cleveland,Cozumel - Lakewood,Sí Señor Mexican Restaurant - Cleveland
5Gj8twqkHxMunpNJLn5Hjw,Umi Sushi - Middleburg Heights,"First Watch - Breakfast, Brunch & Lunch - Westlake",Chili Peppers - Cleveland
5KcrEqWVHrkBH9W8H6cC9w,The City Diner - Cleveland,LongHorn Steakhouse - Cuyahoga Falls,Hatfield's Goode Grub - Cleveland
5MWWP4Kpmw0e8d2ib9G7Kg,Tastebuds - Cleveland,Potbelly Sandwich Shop - Cleveland,Potbelly Sandwich Shop - Independence
5QVozBk6HVJZHA3W-s7aDg,Rosewood Grill - Hudson,Bistro 83 - North Ridgeville,Burntwood Tavern - Chagrin Falls
5TdDdgRO028CIuCN-13-9Q,Gia Lai - Lyndhurst,Munch - Solon,Aladdin's Eatery - Cleveland
5XLuRoXqafFY_GAQ0D8dWw,"Red, the Steakhouse - Beachwood",Zanzibar Soul Fusion - Cleveland,Tomato Grill - Hudson
5YyLWps6xL372Lj2hRlPQw,Banter Beer & Wine - Cleveland,Prosperity Social Club - Cleveland,Corner Alley - Cleveland
5mJlO3oCw_4vvbq1qM6OEg,Battiste & Dupree Cajun Grill - Cleveland,DiBella's Subs - Independence,Ice Cream Joy - Lakewood
5m_xSthxwPoR-XvJvtTeNQ,My Pizzetta - North Royalton,Vero Pizza Napoletana - Cleveland Heights,Carmino's Pizza - Cleveland
5qAnki509wBtMeabE3jUHA,Indian Delight - Cleveland,Brown Sugar Thai Cuisine - Lakewood,The Campus Grille - Berea
5rb2tq_AhxQuRYu_bh464g,El Taco Macho - Painesville,Wasabi Japanese Steakhouse - Beachwood,Señorita Bonita's Mexican Grill & Cantina - Solon
5tlgP7QIvur0lZdPHVhc5w,Manhattan Deli - Mentor,Munch - Solon,Cozumel - Brunswick
5ynzVV_kayd5hfv5Kt6Vbg,Bar 145 - Kent,Red Robin Gourmet Burgers - North Olmsted,RETRO Dog - Cuyahoga Falls
5z0qD9Qftputpv37VjFJPQ,Cuisine of India - Parma Heights,Priya Indian Restaurant - Parma,Szechuan Cafe - Cleveland
61BtQLwM5QPI9taQ20owVA,Sweetie Fry - Cleveland Heights,Rockne's - Cleveland,Smokey Bones Bar & Fire Grill - North Olmsted
63ieHAevJ5szVnClT8FzGQ,Tree City Coffee & Pastry - Kent,Arabica - Willoughby,Aurora Farms Premium Outlets - Aurora
68kpmZBEb6x7wG1HBeLQ3g,Wild Mango Restaurant & Bar - North Olmsted,Lotus Thai House - Cleveland Heights,Southern Cafe - Lakewood
6BWIG_RIqNOJHkrXHx_cCg,Yours Truly Restaurants - Cleveland,Best Gyros - Northfield,Main Street Continental Grill - Kent
6ExIH5FoPyMRhtz4p-2K1g,Ginko - Cleveland,Mandarin Seafood Buffet - Twinsburg,Ginza Sushi House - Cleveland
6IopPDGcxUp4BD3HL7zJPw,Two Bucks - Middleburg Heights,Harry Buffalo - North Olmsted,Hooley House Sports Pub & Grille - Westlake
6L43ztbQh7OyA1qtPlLgqw,Parallax Restaurant and Lounge - Cleveland,Michael's Restaurant & Bar - Rocky River,Don Ramon - Cleveland
6LtbAtQKXWFj7QcqBnr6SA,Vieng's Asian Bistro - Westlake,Wasabi Japanese Steakhouse - Independence,Luchita's Mexican Restaurant - Hudson
6MlO4sGzERjA8kq5rySspQ,Nazca Bar & Grill - Eastlake,Olesia's Place - North Royalton,Taza A Lebanese Grill - Cleveland
6OkjUz-I552moryf3qN1Gg,Texas Roadhouse - Brooklyn,Bonefish Grill - Westlake,Texas Roadhouse - Stow
6PPoODoXUyMULipVWnpJWw,Express Deli  - Brook Park,Frankie's Wok - Brecksville,Cafe Bon Appetit - Cleveland
6RxtO_MxnLwZ7D7iYDE8Jg,Hard Rock Cafe - Cleveland,21 Lounge & Kitchen - Cleveland,Max & Erma's - Middleburg Heights
6S0mvMocUHY6g1rIQWKM_w,Brown Bag Burger - North Olmsted,Burger Fresh - Brecksville,Burger Fresh - Solon
6UXzAVLeWPUIlBtHrbS0-g,Master Pizza - Cleveland,Courthouse Pizzeria - Medina,Capri Pizza - Cleveland
6eWtqUKQ73s3xwbT-aYzig,Yours Truly Restaurants - Mayfield Village,Chili's - North Olmsted,Dutch Country Restaurant - Middlefield
6g8S6V0iyYu6QMvt0QfIqA,The Hot Dog Diner - Parma,Red Robin Gourmet Burgers - Willoughby,Big Boy's Burgers and Shakes - Mayfield Heights
6gPcuK1mTlJDb3SG7d0q7A,Pad Thai - Hudson,Choolaah Indian BBQ - Orange Village,Cuisine Du Cambodge - Cleveland
6kD0vTLj3oZJm7kXRSvfKw,La Dolce Vita - Cleveland,Daddona's - Westlake,Stancato's Italian Restaurant - Cleveland
6lSi4Ho2PpqKtznpQawc-w,RETRO Dog - Cuyahoga Falls,Local West - Cleveland,Sonic - Streetsboro
6lgkTtACpJR5Kijkc050KQ,Feng Lz Habachi Sushi & Bar - Broadview Heights,The Place To Be - Lakewood,Sumo Boy Sushi and Teriyaki House - Mentor
6pgvIE7A8mCLQf65kVRmdA,Ruby Tuesday - North Olmsted,The Pub Beachwood - Beachwood,Paragon Wines+ Martinis + Plates - Euclid
6qL7HYCVN1E0vLfa-S_VlQ,Around the Corner Saloon & Cafe - Lakewood,Fat Heads Brewery and Saloon - North Olmsted,Hansa Brewery - Cleveland
6sCdVRtmhJgNqKh9Vx6JXw,Jackalope Lakeside - Lorain,Village Martini & Wine Bar - Chagrin Falls,Burntwood Tavern - Fairlawn
6tK-R3BQ-GiMxsCGtxpJyw,Burntwood Tavern - Chagrin Falls,Rosewood Grill - Hudson,Castillo Mexicano - Lorain
6tY0tn39Mb8FCLYBAXXOUw,Hot Or Mild - Mayfield Heights,Cleveland Tiffin- Punjabi Dhaba - North Randall,China Gate - South Euclid
6wwz7b5xehEilPx98ZnZtA,The City Diner - Cleveland,Lyndhurst Grill by J. Alexander's - Lyndhurst,O'Charley's Restaurant & Bar - Strongsville
713qzYFUK00yxwRyxsPt7Q,Bar 145 - Avon - Avon,Jammy Buggars - Lakewood,Burgers 2 Beer - Cleveland
71K20-AiZodl9-i3W9w56A,Tree Huggers Cafe - Berea,Flaming Ice Cube - Cleveland,Tommy's Restaurant - Cleveland Heights
74PuNP7egqbaloqDecGsrA,El Rodeo - North Olmsted,Don Patron Mexican Grill - Hudson,Chipotle Mexican Grill - Mayfield Heights
74Q5s1J1xknMX7TAkIPf8w,Rockne's - Cleveland,Smokey Bones Bar & Fire Grill - North Olmsted,The Black Pig - Cleveland
7AcewhFBJmOV44rDkq_pVQ,Athens Pizzeria - Cleveland,Pizza 216 - Cleveland,Whistlers Kitchen & Bar Wood-Fired - Avon
7D-ATDP9Ezr1ZehszsotOQ,"First Watch - Breakfast, Brunch & Lunch - Fairlawn",Akira Hibachi & Sushi - Solon,Wah Fu Chinese Restaurant - Cleveland
7ED5DPk40iqlMpK1E7XoOg,Square 22 - Strongsville,Welshfield Inn - Burton,Rue 254 - Avon
7FFlMoNoIW5W3KgCYqknmQ,Bin 216 - Cleveland,The Venue Bistro and Wine Bar - Parma Heights,Punch Bowl Social Cleveland - Cleveland
7H8Q6aTMDZIYEmhxsZMYfQ,Golden Corral - Northfield,New China King - Lakewood,Boiling Seafood Crawfish - Cleveland Heights
